10-13 21-17 5-10 22-18 13-22 27-18 9-13 18-9 4-13 23-19 11-14 19-15 0-4 31-27 4-9 25-21 9-12 20-16 13-20 16-9 1-5 24-17 5-12 27-23 2-5 28-24 5-9 26-22 7-11 30-26 10-13 17-10 6-13 15-6 3-10 22-18 13-22 26-19 9-13 19-15 13-17 15-11 17-26 29-22 10-13 11-6 14-18 22-19 13-17 6-2 17-20 24-17	1/2-1/2
10-13 21-17 5-10 22-19 9-12 26-21 4-9 19-14 11-18 21-14-5 1-10 27-22 12-21 25-18 0-4 30-26 10-14 18-11 7-14 20-16 13-18 22-13 9-18 28-25 4-9 31-27 6-11 26-22 18-21 25-18 14-21 22-18 2-6 24-20 6-10 20-17 3-7 27-22 11-15 23-19 7-11 17-13 10-17 19-14 21-26 14-7 26-30 18-14 9-13 7-3 30-27 3-7 27-18-11 7-14 17-20 14-10 13-18 10-13 18-22 13-17 20-24 16-12 22-27 12-9 27-30 9-4 30-27 4-0 27-22 17-21 15-19 0-4 19-23 4-9 24-28 9-13 23-27 21-26 22-19 26-30 27-31 13-17 19-14 17-20 14-18 20-16 18-21 16-20 28-24 20-16 21-25 29-20 24-17 16-12 17-21 12-16 21-25 30-26 31-27 26-29 25-21 16-20 27-22 20-24 8-12 24-28 12-17 29-25 21-18 28-24 17-21 24-28 22-19	1-0
11-15 20-16 10-13 24-20 7-11 21-18 6-10 23-19 8-12 27-23 12-17 19-14 10-19 23-14-7 17-24 18-14 13-18 22-13 9-18 31-27 5-9 27-23 9-13 14-11 4-9 23-19 15-22 26-19 18-21 25-18 13-22 19-15 0-4 11-6 2-11 15-6 3-10 7-3 10-14 3-6 14-19 6-11 19-23 11-14 22-27 14-18 27-31 18-22 1-5 29-25 5-10 25-21 4-8 21-18 8-12 22-19 31-27 18-14 27-22 14-5 22-15 5-1	1/2-1/2
11-15 20-16 10-13 25-20 5-10 28-25 1-5 21-18 7-11 25-21 13-17 20-13 10-17 21-12 8-17 18-13 9-18 22-13 11-14 27-22 14-18 29-25 18-27 31-22 3-7 22-18 5-9 26-21 17-26 30-21 9-12 16-9 6-10 13-6 4-13-22 6-3 22-26 21-17 26-30 25-20 30-26 20-16 26-22 17-12 22-18 24-20 18-21 12-8 21-25 20-17 25-20 17-13 20-17 13-10 17-20 16-12 2-6 12-9 6-13 3-6 13-17 8-4 7-11 4-1 17-21 9-5 21-26 5-2 26-29 2-5 11-14 5-9 14-18 6-10 18-21 10-13 29-26 1-5 21-25 13-18 25-29 5-10 20-16 18-14 26-21 14-11 29-25 10-5 25-20 11-6 20-17 6-11 17-12 11-6 0-4 9-0 12-9 5-12 16-9 6-10 21-17 10-14 17-13 14-11 13-18 11-7 18-14 7-3 15-19 3-7 19-22 7-3 22-26 3-6 26-29 6-3 29-25 3-6 25-21 6-3 21-17 3-6 17-12 6-3 12-8 3-6 8-4 6-3 4-1 3-6 9-13 6-3 13-10 3-7 10-6 7-3 14-10 3-7 6-3 7-11 10-13 11-7 13-18 7-11 3-7 11-6 18-13 23-19 7-3 6-11 13-18 19-15 18-13 11-14 3-7 14-19 13-10 19-23 10-14 23-27 7-3 27-30 3-6	1-0
10-14 22-18 6-10 27-22 9-13 18-9 4-13 31-27 3-6 20-16 5-9 22-19 1-5 24-20 14-18 21-14 11-18 19-14 10-19 23-14 18-22 26-19 6-11 30-26 11-18 20-17 13-20 26-21 2-6 21-14 6-11 28-24 11-18 24-17 7-11 19-14 11-15 17-12 8-17 25-21 18-25 29-20-13-4 0-9 27-22 9-13 16-12	0-1
10-14 22-18 6-10 26-22 9-13 18-9 4-13 22-18 13-22 27-18 8-12 20-17 12-16 18-13 3-6 13-9 5-12 17-8 2-5 31-27 0-4 21-17 11-15 17-12 14-19 23-14 10-19 25-21 6-10 28-25 7-11 29-26 11-14 27-22 10-13 24-20 13-18 22-13 5-9 12-5 1-10-17-24 8-1 19-23 21-17 14-18 17-12 15-19 26-21 18-22 21-18 24-28 25-21 28-25 21-17 16-20 1-4 20-24 4-9 24-28 17-13 28-24 13-10 24-20 10-5	1/2-1/2
10-13 22-19 9-12 21-18 13-22 27-18 11-14 19-10 6-13-22 26-19 4-9 31-27 0-4 19-15 3-6 23-19 5-10 25-21 9-13 20-17 13-20 24-17 4-9 30-26 9-13 28-25 13-20 25-16-9 2-5 9-2 10-13 2-11 7-14-23-30 26-22 30-26 21-18 26-19 18-9 8-12 29-26 12-17 15-11 19-14 11-7 14-18	1-0
9-12 22-19 10-13 21-18 13-22 27-18 11-14 18-11 6-15-22 26-19 5-9 30-26 9-13 19-14 4-9 31-27 1-5 26-22 3-6 22-19 6-11 14-10 5-14 19-10 13-18 29-26 9-13 20-16 11-15 16-9 18-21 26-17 13-20-29 28-25 29-20 24-17 7-11 10-5 11-14 5-1 14-18 1-5 0-4 9-0 2-9 0-4 9-12 17-13 12-16 4-9 18-21 13-10 21-25 10-5 25-28 5-1 28-25	1/2-1/2
9-13 20-17 13-20 25-16 11-14 22-19 4-9 27-22 9-13 29-25 5-9 31-27 0-4 16-12 8-17 21-12-5 2-9 25-20 7-11 19-15 14-18 28-25 1-5 20-16 3-7 25-20 13-17 20-13 10-17 22-13 9-18 23-19 18-21 24-20 17-24 26-17 24-28 17-12 4-8 12-9 5-12 16-9 28-25 9-5 25-21 5-2 21-17 2-5 8-12 5-10 6-13 15-6 17-21 6-3 13-17 3-6 17-20 27-22 20-25 30-27 21-26 27-23 26-30 19-15 25-29 22-18 29-26 18-13	1/2-1/2
9-13 20-17 13-20 24-17 4-9 22-18 9-12 27-22 12-16 22-19 11-15 30-27 15-22 26-19 10-14 19-10 6-13-20 28-24 5-9 24-17 1-4 18-13 9-18 21-14 4-9 29-26 2-6 27-22 9-13 17-10 6-13 25-21 13-17 21-12 8-17 22-19 16-20 14-11 7-14 19-10 20-25 10-5 25-29 26-22 29-25 31-27 17-21 22-18 21-26 27-22 26-30 22-19 30-27 18-13 27-22 19-15 25-21 5-2 21-18 13-10 0-4 2-5 4-9 5-12 18-13 10-5 13-9 5-2 9-16 2-5 16-12 15-11 12-17 5-10 3-7 11-6 7-11 6-2 17-21 10-13 11-15 2-5 21-18 13-17 22-26 5-9 26-29 17-12 18-14 9-13 29-26 12-17 26-22 17-21 15-19 21-25 22-26	1/2-1/2
